SessionName,StartTime,EndTime,Location_Lookup,Staff Lead,Type_Lookup,Roomset,A/V,F&B Needs,"PostTo
Web",Step and Repeat?,22x28 Sign?,American Flag,Soft Seating,Soft Seating Needs,Badge Scanning,Internal Notes
Conference Team Member Meeting Room,7/10/2025 8:00am,7/10/2025 5:00pm,"""Conference Suite II, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,"Existing
KEY Needed (3qty)",,,,,,,,,,
NACo Staff Quiet Office,7/10/2025 8:00am,7/10/2025 5:00pm,"""Room 305, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,Conference for 12ppl,(1) Power Strip,,,,,,,,,
Affiliate Exhibit Tables,7/10/2025 8:00am,7/10/2025 5:00pm,"""Foyer outside of Exhibit Hall A, 200 Level (Pennsylvania Convention Center)""",Darrin Crittington,Affiliate,"(10) qty 8' tables - (2) chairs each per Daniels diagram.  
ADD: (1) 8' table and (2) chairs set in front of the columns to the left and right of the circular railing.
",None,,,,,,,,,
NACo Store,7/10/2025 8:00am,7/10/2025 5:00pm,"""Bridge over Arch St. - EAST, 200 Level (Pennsylvania Convention Center)""",Andrea Newsom,,(10) 8' tables with (1) chair each in storage area,POWER DROP: (2) smart counters (1 each) and (1) power drop in storage area behind Store. Freeman may have ordered this for the smart counters.,,,,,,,,,
NACo EDGE Solutions Center,7/10/2025 8:00am,7/10/2025 5:00pm,"""Bridge over Arch St. - WEST, 200 Level (Pennsylvania Convention Center)""",Beth Roberts,,(12) 8' tables with (2) chairs each for exhibitors. (2) 8' tables for storage area. ADD: (4) cocktails with (2) stools.,"POWER DROP: (1) EDGE booth, (1) TV monitor, (2) pieces of charging couches (1 each) and (1) PPP booth. Wendy will walk this onsite with Alex.",,,,,,,,,
NACo Resource Center,7/10/2025 8:00am,7/10/2025 5:00pm,"""Bridge over Arch St. - EAST, 200 Level (Pennsylvania Convention Center)""","Ricardo Aguilar,Cameron Leonard,Emma Conover,Nastassia Walsh",,(2) 8' tables with (1) chair each in storage area,"POWER DROP: (2) drops for (2) TV monitors, (2) drops at tall table and (4) for four charging chairs.",,,,,,,,,
Conference Storage Room at Marriott,7/10/2025 8:00am,7/10/2025 5:00am,"""Room 306, Level 3 (Philadelphia Marriott Downtown)""",,,"KEY Needed (3 qty)
LABOR - move boxes from PCC to this room on TH",,,,,,,,,,
CIO Speed Sharing ,7/10/2025 9:00am,7/10/2025 10:00am,"""204 ABC, 200 Level (Pennsylvania Convention Center)""",Rita Reynolds,Workshop,RDS - 150??ppl cking with Rita team - 18'x8' stages (3) risers - stairs on each side of stage - (5) Comfy Chairs - podium stage right - (18) resource tables on side of room for exhibits - layout the best fit scenario on the sides of the room.  (1) easel ,"Podium mic - (2) LCD packages - (5) wireless mics - Sound - confidence monitor
","900AM-1000AM
BKfst inside room
Dept Code: C04
Acct Code: 5305     
Hot Buffet: The Traditional 50qty   
A La Carte - By the Person: Assorted Individual Greek Yogurt 50qty
A La Carte - By the Person: ADD Honey Almond Granola 50qty",checked,checked,,,,(5) Comfy Chairs,,
Technology Innovation Forum,7/10/2025 10:30am,7/10/2025 4:45pm,"""204 ABC, 200 Level (Pennsylvania Convention Center)""",Rita Reynolds,Workshop,RDS - 150??ppl cking with Rita team - 18'x8' stages (3) risers - stairs on each side of stage - (5) Comfy Chairs - podium stage right - (18) resource tables on side of room for exhibits - layout the best fit scenario on the sides of the room.  (1) easel ,Podium mic - (2) LCD packages - (5) wireless mics - Sound - confidence monitor,"Buffet inside room
1200PM-100PM 
Dept Code: C04
 Acct Code: 5305
Pick N' Choose - Hot Buffet   
Salad: Chopped Baby Wedge  
Protein: Philly Beef Cheesesteak & Smoked Bourbon Glazed Turkey  
Starch: Whipped Red Potatoes   
Veggie: Roasted Brussel Sprouts   
Dessert: Shooter Quartet ",checked,checked,,,,(5) Comfy Chairs,,
Workforce Network Advisory Council Meeting and Lunch,7/10/2025 11:30am,7/10/2025 5:00pm,"""202 AB, 200 Level (Pennsylvania Convention Center)""","Anuja Rathi,Carlos Greene",Meeting,RDS 50 - podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head table of (4ppl) - (1) easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package," Acct Code: F02
 Dept Code: 30
 Project Code: 5305 
1200PM-100PM  
ZAATAR Hot Buffets 20 qty
Assorted Soft Drinks 20 qty
300PM-330PM
Philly Soft Pretzels, Spicy Mustard (dozen) 2qty
Asst. Cookies & Brownies (dozen) 2 qty 
Farmers Crudite 1 qty 
ADD: Assorted soft drinks 25 qty  
ADD: Bottled Water 25 qty",,,,,,,,
Economic Mobility Leadership Advisory Council Meeting,7/10/2025 12:00pm,7/10/2025 5:00pm,"""106 AB, 100 Level (Pennsylvania Convention Center)""",Alseta Gholston,Meeting,Hollow Square for 20ppl,None," Dept Code: G10
Acct Code: 5305
Project Code: FDN950A    
400PM-500PM
Sweet N Salty Break 15qty
Soft Drinks 5 qty
Bottled Water 4 qty",,,checked,,,,,12-4; needs a lunch and AV; will need the room 3-4ish for videography (AEH)
Rural Leaders for Economic Mobility Meeting and Lunch,7/10/2025 12:00pm,7/10/2025 5:00pm,"""107 AB, 100 Level (Pennsylvania Convention Center)""",Madelaine Santana,Meeting,RDS 40 + (1) row of Classroom -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,"Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package
POWER DROP: (2) drops with (2) power strips placed on any (2) round tables in the room set for attendees to charge computers.","12:00PM - 35qty ordered - Buffet set in back of room 107AB
Arugula + Cauli + Turkey+ Red potatoes + brussels + sliced fruit",,,checked,,,,,
Disaster Response and Recovery Training,7/10/2025 1:00pm,7/10/2025 5:00pm,"""108 AB, 100 Level (Pennsylvania Convention Center)""",Brett Mattson,Workshop,CL 240 TH 76 (316 total)-18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table and (2) chairs - (4) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Exhibit Hall Move In,7/10/2025 1:00pm,7/10/2025 5:00pm,"""Hall A, 200 Level (Pennsylvania Convention Center)""",Cara Hackett,,,"POWER DROP: Mic for announcements thru PCC AV provider (Joseph). Location for mic TBD.
Wendy ordered with Joseph not Freeman.",,,,,,,,,
County Leadership Institute Alumni Meeting,7/10/2025 2:00pm,7/10/2025 3:30pm,"""109 AB, 100 Level (Pennsylvania Convention Center)""",Anuja Rathi,Meeting,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Officer Briefing,7/10/2025 3:00pm,7/10/2025 5:00pm,"""Presidential Suite, Marriott""",Marc Chavez,,,,,,,,,,,,
Technology Innovation Forum Reception,7/10/2025 5:30pm,7/10/2025 7:30pm,Offsite,Rita Reynolds,Reception,Offsite at Comcast,,,checked,,,,,,,
CLI Alumni Reception,7/10/2025 5:30pm,7/10/2025 7:00pm,"""110 AB, 100 Level (Pennsylvania Convention Center)""",Anuja Rathi,Reception,40ppl- reception set up. ,None," Dept Code: T03
 Acct Code: 5305
Wine (on consumption)
Beer (on consumption) 
Soft Drinks on Consumption
Bottled Waters on consumption
Pretzel Franks (50 pcs)
Edamame Dumplings (50 pcs)
House Chicken Salad (50 pcs)
Roasted Beet Hummus (50 pcs)  ",checked,,,,,,,
Officer Briefing Dinner,7/10/2025 6:00pm,7/10/2025 8:00pm,Offsite,Marc Chavez,,,,,,,,,,,,
END OF THURSDAY,,,,,,,,,,,,,,,,
NACo Annual Staff Breakfast,7/11/2025 6:00am,7/11/2025 8:30am,"""Room 302, 303, 304, Level 3 (Philadelphia Marriott Downtown)""","Leah Rivera,Wendy Flores",,RDS 80,,,,,,,,,,
NACo Registration Open,7/11/2025 7:00am,7/11/2025 6:30pm,"""Grand Hall, 200 Level (Pennsylvania Convention Center)""",Michelle Stuckey,,(10) 8' tables with (1) chair each - to be set behind Registration in storage area.,,,checked,,,,,,,
NACo Annual Staff Office,7/11/2025 7:00am,7/11/2025 5:00pm,"""304, 300 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(4) 8' tables along wall, Power strip at (2) tables, (3) chairs at two (8)' tables only.  Add in center of room either (2) rounds with chairs or one conference table - whichever will fit most appropriately.
KEY Needed (15 qty)
MASTER KEY (8 qty)",POWER DROP: (4) and (4) power strips and (1) power drop for printer. ,,,,,,,,,
NACo Center Operations,7/11/2025 7:00am,7/11/2025 5:00pm,"""303A, 300 Level (Pennsylvania Convention Center)""","Kevin Carr,Phyllis Williams",,"(1) 8' tables along wall, (2) chairs. 
KEY Needed (3 qty)","POWER DROP: (3) drops one each for a commercial grade printers/copier and (1) power drop at 8' table and (1) power strip.

",,,,,,,,,
Marx AV Storage #1,7/11/2025 7:00am,7/11/2025 7:00pm,"""100 A, 100 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(2) 8' tables along wall, (3) chairs at two (8)' tables.  
KEY Needed (5qty)",POWER DROP: (1) at 8' table for Marx Team,,,,,,,,,
NACo Signage Storage,7/11/2025 7:00am,7/11/2025 7:00pm,"""101 , 100 Level (Pennsylvania Convention Center)""","Leah Rivera,Patrick Dougherty",,"2) 8' tables along wall, (3) chairs at two (8)' tables.  
Drop an extra 25 easels in this room.
KEY Needed (3 qty)",,,,,,,,,,
Web Cast/Film Room,7/11/2025 7:00am,7/11/2025 5:00pm,"""306, 300 Level (Pennsylvania Convention Center)""","Myava Mitchell,Charlie Ban",,"(2) 8' tables along wall with (2) chairs each.
KEY Needed (6 qty)
",POWER DROP: (2) and (2) power strip - one at each table.,,,,,,,,,
NACo Executive Back Up Office,7/11/2025 7:00am,7/11/2025 5:00pm,"""Conference Suite III, Level 3 (Philadelphia Marriott Downtown)""",Marc Chavez,,"Existing Board Table
KEY Needed",,,,,,,,,,
NACo Corporate Partners Meeting Room,7/11/2025 7:00am,7/11/2025 5:00pm,"""104 AB, 100 Level (Pennsylvania Convention Center)""",Cara Hackett,,"Conference (12ppl) with (1) 8' table w/2 chairs along wall and (2) rounds with (6) chairs. (1) Easel
KEY Needed (3qty)",POWER DROP: (1) at 8' table and (1) power strip,,,,,,,,,
EDGE Annual Meeting Room,7/11/2025 7:00am,7/11/2025 5:00pm,"""305, 300 Level (Pennsylvania Convention Center)""",Beth Roberts,,"Conference (6ppl) with (1) 8' table w/2 chairs along wall. 
KEY Needed (5qty)",POWER DROP: (2) and (2) power strip - one at each table.,,,,,,,,,
CPI Meeting Room,7/11/2025 7:00am,7/11/2025 5:00pm,"""Room 309, Level 3 (Philadelphia Marriott Downtown)""",Christina Loukos,,"Conference (12ppl) w/(12) chairs, (1) 8' table w/(2) chairs along wall. 
KEY Needed
",(1) Power Strip,,,,,,,,,
Government Affairs Meeting Room,7/11/2025 7:00am,7/11/2025 5:00pm,"""Room 310, Level 3 (Philadelphia Marriott Downtown)""",Eryn Hurley,,"Conference (12ppl) w/(12) chairs, (1) 8' table w/(2) chairs along wall. 
KEY Needed
",(1) Power Strip,,,,,,,,,
Corcoran Expositions Booth,7/11/2025 7:00am,7/11/2025 5:00pm,"""Hall A, 200 Level (Pennsylvania Convention Center)""","Darrin Crittington,Cara Hackett",,,"Two (2) Monitors with compatible cords to MacBook's
One (1) Large monitor on a stand and with a laptop to run the floor plan on a loop. ",,,,,,,,,
NACo Executive Office,7/11/2025 7:00am,7/11/2025 5:00pm,"""303B, 300 Level (Pennsylvania Convention Center)""",Marc Chavez,,"(2) 8' tables along wall, (3) chairs at two (8)' tables only.  Add in center of room (2) rounds with 8 chairs each 
KEY Needed (5qty)","Color Printer
POWER DROP: (2) and (2) power strips, one on each 8' table, (1) drops and (1) power strips round table, (1) power drop for printer",,,,,,,,,
Marx AV Storage #2,7/11/2025 7:00am,7/11/2025 7:00pm,"""100 B, 100 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(2) 8' tables along wall, (3) chairs at two (8)' tables.  
KEY Needed (5qty)",,,,,,,,,,
First-time Attendee Breakfast,7/11/2025 8:00am,7/11/2025 9:30am,"""Salon EF | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""","Priscila Chrappah,Deonte Monroe,Grace Dunlap",Meeting,RDS 375 - Podium - Staging for Podium - ADD table stanchions with numbers - NEW ADD (4) 6' resource tables in the back of the room for swag items.,Podium Mic,"Classic Plated Breakfast - with fruit cup.  How much is it to add pastries to the table? 
ADD table stanchions with numbers.",checked,checked,,checked,,,,
General Session Set Up,7/11/2025 8:00am,7/11/2025 5:00pm,"""Hall B, 200 Level (Pennsylvania Convention Center)""",Leah Rivera,,"Rounds, 1500 plus 300 in theatre - See Marx Diagram
GREEN ROOM: Add (2) rounds with linen and (6) chairs at each table. ",Marx,Break Service,,,,,,"GREEN ROOM: (1) couch, (2) chairs, (1) coffee or end table and (2) tall lamps.",,Focus on history of NACo and our country; includes celebration with all living past presidents
Conference Team Member Meeting Room,7/11/2025 8:00am,7/11/2025 5:00pm,"""Conference Suite II, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,"Existing
KEY Needed (3qty)",,,,,,,,,,
NACo Staff Quiet Office,7/11/2025 8:00am,7/11/2025 5:00pm,"""Room 305, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,Conference for 12ppl,(1) Power Strip,,,,,,,,,
Affiliate Exhibit Tables,7/11/2025 8:00am,7/11/2025 5:00pm,"""Foyer outside of Exhibit Hall A, 200 Level (Pennsylvania Convention Center)""",Darrin Crittington,Affiliate,"(10) qty 8' tables - (2) chairs each per Daniels diagram.
ADD: (1) 8' table and (2) chairs set in front of the columns to the left and right of the circular railing.
",None,,,,,,,,,
NACo Store,7/11/2025 8:00am,7/11/2025 5:00pm,"""Bridge over Arch St. - EAST, 200 Level (Pennsylvania Convention Center)""",Andrea Newsom,,(10) 8' tables with (1) chair each in storage area,POWER DROP: (2) smart counters (1 each) and (1) power drop in storage area behind Store. ,,checked,,,,,,,
NACo EDGE Solutions Center,7/11/2025 8:00am,7/11/2025 5:00pm,"""Bridge over Arch St. - WEST, 200 Level (Pennsylvania Convention Center)""",Beth Roberts,,(12) 8' tables with (2) chairs each for exhibitors. (2) 8' tables for storage area. ADD: (4) cocktails with (2) stools.,"POWER DROP: (1) EDGE booth, (1) TV monitor, (2) pieces of charging couches (1 each) and (1) PPP booth ",,checked,,,,,,,
NACo Resource Center,7/11/2025 8:00am,7/11/2025 5:00pm,"""Bridge over Arch St. - EAST, 200 Level (Pennsylvania Convention Center)""",Andrea Newsom,,(2) 8' tables with (1) chair each in storage area,"POWER DROP: (2) drops for (2) TV monitors, (2) drops at tall table and (4) for four charging chairs.",,checked,,,,,,,
Comcast Office #1,7/11/2025 8:00am,7/11/2025 5:00pm,"""300, 300 Level (Pennsylvania Convention Center)""",,,"(3) 8' tables and (6) chairs. Tables to have black velour and skirting. 
MASTER KEY Needed (6 qty) for 300,301,302",POWER DROP: (2) drops - (1) power strip on 8' table and (1) power strip on conference table. ,,,,,,,,,
Comcast Office #2,7/11/2025 8:00am,7/11/2025 5:00pm,"""301, 300 Level (Pennsylvania Convention Center)""",,,"	two 6-foot tables (6’ x 18”) with 6 chairs 
	one 60” round table with 8 chairs
	1 Cocktail Adjustable table (for make-up)
	1 barstool height char (for make-up) FREEMAN ORDER
MASTER KEY Needed (6 qty) for 300,301,302",POWER DROP: (1) drops - (1) power strip on 8' table ,,,,,,,,,
Comcast Office #3,7/11/2025 8:00am,7/11/2025 5:00pm,"""302, 300 Level (Pennsylvania Convention Center)""",,,"Conference for (6) ppl with chairs. (1) 8' table along one wall with (3) chairs. 
MASTER KEY Needed (6 qty) for 300,301,302",POWER DROP: (2) drops - (1) power strip on 8' table and (1) power strip on conference table. ,,,,,,,,,
Exhibit hall move in,7/11/2025 8:00am,7/11/2025 3:00pm,,Cara Hackett,,,,,,,,,,,,
Policy Coordinating Committee Meeting #1,7/11/2025 8:30am,7/11/2025 9:00am,"""203 AB, 200 Level (Pennsylvania Convention Center)""",Mark Ritacco,"Meeting,Committee",U shape for 30 - podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head tables of (4ppl) - (1) Easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Justice and Public Safety Policy Steering Committee,7/11/2025 9:30am,7/11/2025 4:00pm,"""204 ABC, 200 Level (Pennsylvania Convention Center)""",Brett Mattson,"Meeting,Committee",CL224 TH 280 (504 total) (114 reg) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (6) 8' resource tables along back/side walls of room.  (1) easel,"Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package
",,checked,,,checked,,,,
Health Policy Steering Committee,7/11/2025 9:30am,7/11/2025 4:00pm,"""105 AB, 100 Level (Pennsylvania Convention Center)""",Blaire Bryant,"Meeting,Committee","CL140 with TH for 24 (164 total) (76 reg) -18'x8' stages - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech booth with (2) chairs, (2) 8' resource tables outside of room. (1) easel outside room",Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
Transportation Policy Steering Committee,7/11/2025 9:30am,7/11/2025 4:00pm,"""108 AB, 100 Level (Pennsylvania Convention Center)""",Ben Gilsdorf,"Meeting,Committee",CL 240 TH 76 (316 total) (110 reg) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table and (2) chairs - (4) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (2) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
Human Services and Education Policy Steering Committee,7/11/2025 9:30am,7/11/2025 4:00pm,"""111 AB, 100 Level (Pennsylvania Convention Center)""",Julia Cortina,"Meeting,Committee",CL140 TH24 (164 total) (86 reg) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
First-Time Attendee Policy Committee Explainer,7/11/2025 9:30am,7/11/2025 11:00am,"""Salon EF | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",Eryn Hurley,Meeting,RDS 375 - Podium - Staging for Podium,Podium Mic,,checked,,,checked,,,,
"Finance, Pensions and Intergovernmental Affairs Policy Steering Committee",7/11/2025 9:30am,7/11/2025 4:00pm,"""107 AB, 100 Level (Pennsylvania Convention Center)""",Paige Mellerio,"Meeting,Committee",CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
Telecommunications and Technology Policy Steering Committee,7/11/2025 9:30am,7/11/2025 4:00pm,"""109 AB, 100 Level (Pennsylvania Convention Center)""",Seamus Dowdall,"Meeting,Committee",CL140 TH24 (164 total) (66 reg) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,"Bus Transportation to Comcast Tech Center 1800 Arch St. 19103
Departs: "
"Community, Economic and Workforce Development Policy Steering Committee",7/11/2025 9:30am,7/11/2025 4:00pm,"""201 ABC, 200 Level (Pennsylvania Convention Center)""","Michael Matthews,Eryn Hurley","Meeting,Committee",CL224 TH 280 (504 total) (154 reg) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (6) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,largest attendence history (150)
Public Lands Policy Steering Committee,7/11/2025 9:30am,7/11/2025 4:00pm,"""Ballroom A, 300 Level (Pennsylvania Convention Center)""",Zeke Lee,"Meeting,Committee",Hollow Square 100 (71 reg) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (6) 8' resource tables along back/side walls of room. ,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
Agriculture and Rural Affairs Policy Steering Committee Meeting,7/11/2025 9:30am,7/11/2025 4:00pm,"""113 AB, 100 Level (Pennsylvania Convention Center)""",Owen Hart,"Meeting,Committee",CL264 TH 89 (353 total)  (100 reg)-18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (4) 8' resource tables along back/side walls of room. (1) Easel outside room.,Podium mic - (2) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
"Environment, Energy and Land Use Policy Steering Committee Meeting",7/11/2025 9:30am,7/11/2025 4:00pm,"""103 AB, 100 Level (Pennsylvania Convention Center)""",Charlotte Mitchell Duyshart,"Meeting,Committee",CL264 TH 89 (353 total) (89 reg) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (4) 8' resource tables along back/side walls of room. (1) Easel outside room.,Podium mic - (2) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
"Audit Committee
",7/11/2025 10:00am,7/11/2025 11:00am,"""202 AB, 200 Level (Pennsylvania Convention Center)""","Janet Fernandes,Danny Melgoza","Meeting,Committee",U shape 40 - podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head table of (4ppl) - (1) easel - add tall (2) cocktail round inside U shape for client owned owls.,"Podium mic - (1) LCD packages - (2) tabletop mics - (3) wireless mics on stands for Q&A - Audio Package - 
POWER DROP: (2) drops to (2) cocktail Round for (2) ""Owls""","Dept Code: A03-10
Acct Code: 5305 
1000AM-1100AM
Just Waking Up - Continental 15 qty ",,,checked,,,,,
